DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,CZ,2016,1.63,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,CZ,2017,1.69,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,CZ,2018,1.71,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,CZ,2019,1.71,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,CZ,2020,1.74,b,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,CZ,2021,1.83,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,CZ,2022,1.64,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,CZ,2023,1.46,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,DE,2012,1.41,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,DE,2013,1.42,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,DE,2014,1.47,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,DE,2015,1.50,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,DE,2016,1.60,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,DE,2017,1.57,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,DE,2018,1.57,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,DE,2019,1.54,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,DE,2020,1.53,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,DE,2021,1.58,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,DE,2022,1.46,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,DE,2023,1.39,b,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,DK,2012,1.73,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,DK,2013,1.67,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,DK,2014,1.69,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,DK,2015,1.71,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,DK,2016,1.79,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,DK,2017,1.75,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,DK,2018,1.73,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,DK,2019,1.70,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,DK,2020,1.68,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,DK,2021,1.72,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,DK,2022,1.55,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,DK,2023,1.50,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,EA19,2012,1.56,b,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,EA19,2013,1.54,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,EA19,2014,1.56,b,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,EA19,2015,1.56,b,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,EA19,2016,1.58,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,EA19,2017,1.56,b,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,EA19,2018,1.53,ep,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,EA19,2019,1.52,bep,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,EA19,2020,1.49,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,EA19,2021,1.51,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,EA19,2022,1.45,bp,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,EA19,2023,1.38,bp,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,EA20,2020,1.49,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,EA20,2021,1.52,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,EA20,2022,1.45,bp,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,EA20,2023,1.38,bp,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,EE,2012,1.56,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,EE,2013,1.52,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,EE,2014,1.54,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,EE,2015,1.58,b,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,EE,2016,1.60,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,EE,2017,1.59,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,EE,2018,1.67,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,EE,2019,1.66,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,EE,2020,1.58,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,EE,2021,1.61,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,EE,2022,1.41,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,EE,2023,1.31,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,EL,2012,1.34,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,EL,2013,1.29,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,EL,2014,1.30,,
